DPD90_12m;customer_type;product_type_zart;product_type_nyilt;onero;age_of_asset (honap);sales_channel_dealer;sales_channel_hitelpont;sales_channel_hiteliroda;Nace_low;Nace_medium;Nace_high
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;1;0
0;1;1;0;-1,263755643;0,32643554;1;0;0;0;1;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;0;1
0;1;1;0;2,695503158;0,64760218;1;0;0;1;0;0
0;0;1;0;1,161842901;-0,540714387;1;0;0;0;1;0
0;0;1;0;1,104222109;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,039421447;1,996502067;0;0;1;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;0;1
0;1;1;0;-0,000834175;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
0;1;1;0;-1,164300577;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,000834175;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;0;0;1;1;0;0
0;1;1;0;0,800331631;1,578985435;1;0;0;0;1;0
0;1;1;0;-1,263755643;1,996502067;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;0;0;1;1;0;0
0;0;1;0;-0,239999928;-0,540714387;0;1;0;1;0;0
0;1;1;0;-0,869092684;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,190272395;3,795035248;1;0;0;1;0;0
0;1;1;0;-0,474429725;0,583368852;0;1;0;0;1;0
0;0;1;0;-0,474429725;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,441278037;1,418402115;1;0;0;0;1;0
0;1;1;0;1,234460885;1,386285451;1;0;0;0;1;0
0;1;1;0;1,893548026;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
